Date,Orders,"Total Sales",Returns,Coupons,Taxes,Shipping,"Net Revenue"
"2021-03-30 00:00:00",1,7565,0,7765,0,100,7465
"2021-03-29 00:00:00",0,0,0,0,0,0,0
"2021-03-28 00:00:00",0,0,0,0,0,0,0
"2021-03-27 00:00:00",0,0,0,0,0,0,0
"2021-03-26 00:00:00",0,0,0,0,0,0,0
"2021-03-25 00:00:00",0,0,0,0,0,0,0
"2021-03-24 00:00:00",0,0,0,0,0,0,0
"2021-03-23 00:00:00",0,0,0,0,0,0,0
"2021-03-22 00:00:00",0,0,0,0,0,0,0
"2021-03-21 00:00:00",0,0,0,0,0,0,0
"2021-03-20 00:00:00",0,0,0,0,0,0,0
"2021-03-19 00:00:00",0,0,0,0,0,0,0
"2021-03-18 00:00:00",0,0,0,0,0,0,0
"2021-03-17 00:00:00",0,0,0,0,0,0,0
"2021-03-16 00:00:00",0,0,0,0,0,0,0
"2021-03-15 00:00:00",0,0,0,0,0,0,0
"2021-03-14 00:00:00",0,0,0,0,0,0,0
"2021-03-13 00:00:00",0,0,0,0,0,0,0
"2021-03-12 00:00:00",0,0,0,0,0,0,0
"2021-03-11 00:00:00",0,0,0,0,0,0,0
"2021-03-10 00:00:00",0,0,0,0,0,0,0
"2021-03-09 00:00:00",0,0,0,0,0,0,0
"2021-03-08 00:00:00",0,0,0,0,0,0,0
"2021-03-07 00:00:00",0,0,0,0,0,0,0
"2021-03-06 00:00:00",0,0,0,0,0,0,0
"2021-03-05 00:00:00",0,0,0,0,0,0,0
"2021-03-04 00:00:00",0,0,0,0,0,0,0
"2021-03-03 00:00:00",0,0,0,0,0,0,0
"2021-03-02 00:00:00",0,0,0,0,0,0,0
"2021-03-01 00:00:00",0,0,0,0,0,0,0
